"","x"
"1",0.00229684497559287
"2",0.0022981378392945
"3",0.00221411150183132
"4",0.00240994838995978
"5",0.00238131255185543
"6",0.00233992920484189
"7",0.00238572688476295
"8",0.0022797947730664
"9",0.00232941071536873
"10",0.00231549728854791
"11",0.00223202128353402
"12",0.00229810521578249
"13",0.00224807950165621
"14",0.00236571865789906
"15",0.00239003096002543
"16",0.00232707973075979
"17",0.00237007673327396
"18",0.00235797555984552
"19",0.00237870799266419
"20",0.00231546838242036
"21",0.00229051154381955
"22",0.00230518694071038
"23",0.0023202239118404
"24",0.00235197440061559
"25",0.00232090259089899
"26",0.00236908708130793
"27",0.00234304841675462
"28",0.00242324019534288
"29",0.00235608792371494
"30",0.00233472137936262
"31",0.00230894860209766
"32",0.00228439006371345
"33",0.00241353025212114
"34",0.00237313946435114
"35",0.00231575658083018
"36",0.00237691619730034
"37",0.00233857748431505
"38",0.00235130027497693
"39",0.0024102747325213
"40",0.00239418136799239
"41",0.00235107901009013
"42",0.00232603188371232
"43",0.0023101811188909
"44",0.00230917443537334
"45",0.00230523126471804
"46",0.0024078840691255
"47",0.00230476730948886
"48",0.00236774043848664
"49",0.00233099149333096
"50",0.00229294648642794
"51",0.0023094904164105
"52",0.00227181243402805
"53",0.00233743044402465
"54",0.00235504222522381
"55",0.00237800436588321
"56",0.00239503435116535
"57",0.00237015737185859
"58",0.00224755025555303
"59",0.00229381878756932
"60",0.00229511667762649
"61",0.00239132280535199
"62",0.00233275782389117
"63",0.00228387074636907
"64",0.00225884852136393
"65",0.00230196950769187
"66",0.00236086048176095
"67",0.00230639519489412
"68",0.00238262192228089
"69",0.00238661211382917
"70",0.00232893107285254
"71",0.00243437797252768
"72",0.00231691901516102
"73",0.00233628491526507
"74",0.00235913482501731
"75",0.00232332641526428
"76",0.00235911521438118
"77",0.00225508815145024
"78",0.00239824376412348
"79",0.0023491104782861
"80",0.0023247183704013
"81",0.00239850988420685
"82",0.00236572450317051
"83",0.00226302866731291
"84",0.00237870257088593
"85",0.00228149861907734
"86",0.00229073391793818
"87",0.00232138575389213
"88",0.00228572398848214
"89",0.00229385250762094
"90",0.00232002886984185
"91",0.00225476637086422
"92",0.00234937838274729
"93",0.00235230935769225
"94",0.00240941242026791
"95",0.00226956100988272
"96",0.00232674648674321
"97",0.00230514827192142
"98",0.00239483320089215
"99",0.00238904968603931
"100",0.00233513159537714
"101",0.002306005092819
"102",0.00238519356373731
"103",0.00234756434655174
"104",0.00245120185701122
"105",0.00235786423097225
"106",0.002357409117257
"107",0.00225972865483807
"108",0.00220976342732565
"109",0.00242348928626696
"110",0.00233247414310912
"111",0.0023583108346028
"112",0.00234627596068639
"113",0.00236260555860485
"114",0.00234090584946289
"115",0.00231581736487462
"116",0.00232914845071494
"117",0.00232399788275314
"118",0.00227504401185783
"119",0.00234459968473131
"120",0.0023453984719723
"121",0.00225129874360003
"122",0.00230803847385748
"123",0.00237085026423191
"124",0.00227082569963413
"125",0.00237508133682561
"126",0.00237820826021009
"127",0.00237243443620472
"128",0.00237395096318976
"129",0.00229231971040581
"130",0.00235797497199814
"131",0.00240178118879621
"132",0.00229076596708315
"133",0.00229228516471312
"134",0.0022961212037864
"135",0.00236136081107203
"136",0.00234877892086562
"137",0.0023220662581894
"138",0.0023805704975918
"139",0.00230786639979679
"140",0.00236896250342221
"141",0.00236058377772723
"142",0.00232052524917942
"143",0.00231990566264411
"144",0.00238625656871377
"145",0.00237882162712929
"146",0.00238684878574636
"147",0.00227958317569032
"148",0.00238609572268521
"149",0.00231142351716786
"150",0.00228965183802153
"151",0.00233310189103406
"152",0.00231818629868012
"153",0.00229453278838881
"154",0.00236740396244419
"155",0.00238677891878413
"156",0.00232143464574579
"157",0.00226045508607317
"158",0.0023551483193451
"159",0.00229399793508999
"160",0.00237506320653985
"161",0.00232969426135351
"162",0.00239279824488923
"163",0.00237338858492074
"164",0.0022721369308792
"165",0.00233537311193857
"166",0.00234577175759867
"167",0.00232257064465951
"168",0.00232867752156693
"169",0.00234673260061894
"170",0.00232204272740021
"171",0.00237079469759323
"172",0.00233824345070996
"173",0.00228464241090597
"174",0.00234875263442452
"175",0.00232958607571043
"176",0.00234620755348387
"177",0.00234174664049512
"178",0.00242137409461605
"179",0.00234981719595018
"180",0.00234858696614827
"181",0.00229671284909006
"182",0.00233208151702615
"183",0.00235313720360836
"184",0.00235429190207561
"185",0.00233679741114763
"186",0.00225505109101481
"187",0.0023078694752462
"188",0.00240878029560154
"189",0.00234428610066765
"190",0.00236294399906745
"191",0.00229859755171981
"192",0.00242732886387351
"193",0.00230844710763755
"194",0.00230415059391405
"195",0.00238477415138399
"196",0.0022927548565136
"197",0.00232876595664493
"198",0.00235416298122517
"199",0.0023222447547279
"200",0.00238666529392659
"201",0.00236533882149505
"202",0.00235716847547983
"203",0.00238664193639794
"204",0.00234581974626623
"205",0.0023297715480563
"206",0.00231219231976933
"207",0.00229958696742511
"208",0.00234459741877865
"209",0.00242528220492491
"210",0.00228568398138725
"211",0.00243767478422744
"212",0.00243376874914457
"213",0.00237087655361759
"214",0.00225170116337565
"215",0.00238323991392272
"216",0.00234115645324144
"217",0.00223197277375682
"218",0.00231532659180728
"219",0.00231553655640523
"220",0.00227430997290894
"221",0.00232743462458423
"222",0.00226351714447197
"223",0.00231499568607038
"224",0.00237592728453147
"225",0.00232520327829759
"226",0.00226148690930727
"227",0.00236584917849223
"228",0.00229318331373551
"229",0.0022392881695463
"230",0.00235857975005927
"231",0.00234927137552303
"232",0.00233789700908424
"233",0.00234316677233051
"234",0.00234082670461616
"235",0.00234065363923494
"236",0.00237028110033313
"237",0.00235069074738879
"238",0.00242817628407009
"239",0.00232464721359113
"240",0.00237399767644124
"241",0.00231556189395404
"242",0.00229123806493576
"243",0.00228863487105376
"244",0.00228915692699218
"245",0.00241874930637838
"246",0.00239618357875925
"247",0.00229111683335759
"248",0.00235912274931986
"249",0.00218895070120528
"250",0.0023779977026333
"251",0.00232038866876723
"252",0.00243082750588133
"253",0.00230300614433965
"254",0.00236624256511546
"255",0.00231661705424118
"256",0.00238377149183196
"257",0.00228805261562932
"258",0.00229821289950273
"259",0.00223133735203728
"260",0.00228659370069257
"261",0.00236074897489013
"262",0.00235342897284621
"263",0.00233652036922845
"264",0.00235499715329592
"265",0.00225570539415286
"266",0.00227651514286578
"267",0.00232130196254414
"268",0.00235418499914712
"269",0.00227553234393079
"270",0.00232825289522209
"271",0.00235819508451734
"272",0.00235639130712204
"273",0.00232446717434882
"274",0.00230710921216278
